id,X0h,X1h,X2h,X3h,X4h,X5h,X6h,X7h,Il.1b,Il.6,TNF,IFN.b,max_t,min_t
54,38.4,37.9,37.6,38.6,37.8,38.2,38.1,38.2,0.08044995,2.031735031,0.041720961,0,38.6,37.6
55,39,38.1,38.5,36.5,33,30,27.8,27.8,13.42006865,198.5493684,1.033845611,13.52777778,39,27.8
56,38.4,38.3,38.9,38.6,37.5,37.2,35.4,35.2,0.650368427,45.19128795,0.592343337,1.027777778,38.9,35.2
57,39,39.3,39.4,39.6,39.3,39.7,38.9,38.7,0,0.526046596,0,0,39.7,38.7
58,38.8,37.7,36.9,37,34.3,34.2,32.1,30.6,0.6386808,30.6939347,0.197486616,0,38.8,30.6
59,39,39,38.9,38.3,35.7,32.5,32.4,28.6,2.442222605,121.8947163,0.435135328,8.805555556,39,28.6
60,38.8,37.8,38.1,38.9,39.4,39.2,39.2,38.8,0.536960485,12.77623857,0.082363962,0,39.4,37.8
61,39,39.1,39.3,39.5,39,38,36.8,35.7,0.365237628,19.83200904,0.103052319,0,39.5,35.7
62,39,38.9,40,39.2,38.4,35.9,35.3,34.9,0.655045806,30.73445336,0.247439426,0,40,34.9
63,39,37.5,37.9,37.1,36.7,34.5,32.3,29.9,0.754363817,82.43615881,0.269079087,0.194444444,39,29.9
64,38.6,37.8,38.7,39.5,39.9,39,39.3,39.1,0.439358995,3.084508127,0.009457761,0,39.9,37.8
65,39,38.9,39.9,40,39.3,36.9,34,32.7,1.183742938,30.10219956,0.188848811,0.611111111,40,32.7
66,39,39.1,39.8,39,37.7,34.1,32.9,33.6,1.045905373,15.61501891,0.186435089,5.055555556,39.8,32.9
67,39,39.3,39.7,39.8,39.5,39.6,39.1,39.5,0.216994954,2.307895711,0.112736446,7,39.8,39
68,38.8,39.3,39.4,38.9,39.3,39.1,39.4,39,0.101662951,0.836096209,0.043414815,0.611111111,39.4,38.8
69,39,38,37.6,36.5,35.6,36,35.5,35.3,0.409854153,11.82219227,0.105717642,3.111111111,39,35.3
70,38.7,38.9,38.2,37.7,37.5,38.5,37.8,38.1,0.07300948,0.76636133,0.075527222,0,38.9,37.5
71,38.6,37.7,37.9,36.9,36.9,36.3,34.2,33.7,0.345208307,10.55369402,0.348356089,0,38.6,33.7
72,38.9,38.6,38.8,38.8,38.2,38.9,39.4,38.9,0,0.76636133,0,0,39.4,38.2
73,39,38.6,38.9,39.5,38.2,37.8,35.8,34.3,0.534285589,69.53891752,0.312588767,0,39.5,34.3
74,38.6,37.7,37.1,36.8,36.8,37,37.1,37.2,0.240200575,5.007567264,0.022985603,0,38.6,36.8
75,39,38.3,37.9,37.2,34.4,35.6,34.8,34,0.787255111,30.1866292,0.17680331,1.861111111,39,34
76,38.5,38.1,39.1,39.6,39.4,37.7,35.4,35.3,0.654246,27.45073,0.720186,1.027777778,39.6,35.3
77,39,38.3,38.1,38.5,38.1,38.6,38.8,38.4,0,1.465140017,0,0,39,38.1
78,38,39,38.1,38,38.3,37.8,38.5,38.5,0.155247,0.341151,0,0,39,37.8
79,38.7,38.9,39.4,39.6,37.3,33.8,30.3,30,1.917678,242.4616,2.477298,0,39.6,30
80,38.6,38.6,39.2,38.6,38.1,37.6,36.6,35.7,0.436114,4.831691,0,0,39.2,35.7
81,38.7,38.4,35.5,35.1,33,31,31.1,32.4,0.900461,24.30414,0.391958,5.888888889,38.7,31
82,38.5,38.6,37.2,36.3,36.1,34.6,34,35,0.394012,8.567479,0.468545,2.277777778,38.6,34
83,38.7,37.9,37.8,37.8,37.4,37.5,37.8,37.8,0.033045,0.015551,0,0,38.7,37.4
84,38.2,38.4,38.9,38.7,38.1,37.5,36.8,37.2,0.458894,13.34451,0.280361,0.333333333,38.9,36.8
86,38.6,39.2,39.1,38.8,38.9,38.7,38.7,38.9,0,0,0.499179,0,39.2,38.6
87,38.3,39,40.1,38.9,34.6,31.7,29.3,29.3,0.871862,51.21424,0.647976,6.305555556,40.1,29.3
88,38,38.1,37.6,37.9,38,37.4,36.4,35.4,0.509631,12.84151,0.512309,1.583333333,38.1,35.4
89,38.2,37.7,37.6,38.3,37.2,34.3,33.5,33.2,0.699594,59.21342,0.928063,5.055555556,38.3,33.2
90,38.9,38.7,39.3,39.4,37.6,36.1,37.1,37,0.552171748,22.92915842,0.200952302,1.861111111,39.4,36.1
91,39,39,39.2,39.7,38.7,37.5,33.4,33.2,0.292584783,9.590691773,0.043414815,0.194444444,39.7,33.2
92,39,38.2,38.1,37.9,38.5,38.9,38,37.2,0.428502287,11.98805089,0.123853568,0,39,37.2
93,38.9,38.4,38.9,38.3,38.1,38.4,38.1,38.7,0.063759876,0,0.007692127,0,38.9,38.1
94,38.9,37.7,36.7,36.6,36.1,34.6,34.9,35.8,0.47332325,10.05657815,0.109607483,0,38.9,34.6
95,39,38.6,36.6,36,35.7,34,32.7,32,0.770121612,32.52715066,0.343525396,0,39,32
96,38.7,38.5,38.1,38.4,38.6,38.7,38.6,38.1,0,0.541411867,0.00801058,0,38.7,38.1
97,38.9,37.7,37.7,38.4,38.5,38.5,38.6,38.1,0.259061019,5.659677854,0.151272431,4.638888889,38.9,37.7
98,38.9,38.4,37.5,33.1,30.6,27.8,27.8,27.8,8.811187422,392.45635,3.379029746,4.222222222,38.9,27.8
